127.0.0.1 - - [05/Apr/2026:12:57:35 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:36 +0530] "GET /DemoWebProject/ HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:38 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:46 +0530] "GET /DemoWebProject/LoginCtl HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:57 +0530] "POST /DemoWebProject/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:57:57 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:58:01 +0530] "GET /DemoWebProject/UserListCtl HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:58:04 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:58:19 +0530] "POST /DemoWebProject/UserCtl HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:58:38 +0530] "POST /DemoWebProject/UserCtl HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:58:53 +0530] "POST /DemoWebProject/UserCtl HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Apr/2026:12:59:04 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:36 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:37 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:38 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:39 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:40 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:43 +0530] "GET /DemoWebProject/UserListCtl HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:44 +0530] "GET /DemoWebProject/UserCtl HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:45 +0530] "GET /DemoWebProject/UserListCtl HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:48 +0530] "GET /DemoWebProject/UserListCtl HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:48 +0530] "GET /DemoWebProject/UserListCtl HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:19:50 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:20:53 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:20:55 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:20:56 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:20:57 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [05/Apr/2026:13:20:58 +0530] "GET /DemoWebProject/WelcomeCtl HTTP/1.1" 200 613
